season,team,rating,source,notes
2026,ARI,0.50,manual_template,Replace with your projection before use
2026,ATL,0.50,manual_template,Replace with your projection before use
2026,BAL,0.50,manual_template,Replace with your projection before use
2026,BUF,0.50,manual_template,Replace with your projection before use
2026,CAR,0.50,manual_template,Replace with your projection before use
2026,CHI,0.50,manual_template,Replace with your projection before use
2026,CIN,0.50,manual_template,Replace with your projection before use
2026,CLE,0.50,manual_template,Replace with your projection before use
2026,DAL,0.50,manual_template,Replace with your projection before use
2026,DEN,0.50,manual_template,Replace with your projection before use
2026,DET,0.50,manual_template,Replace with your projection before use
2026,GB,0.50,manual_template,Replace with your projection before use
2026,HOU,0.50,manual_template,Replace with your projection before use
2026,IND,0.50,manual_template,Replace with your projection before use
2026,JAX,0.50,manual_template,Replace with your projection before use
2026,KC,0.50,manual_template,Replace with your projection before use
2026,LV,0.50,manual_template,Replace with your projection before use
2026,LAC,0.50,manual_template,Replace with your projection before use
2026,LAR,0.50,manual_template,Replace with your projection before use
2026,MIA,0.50,manual_template,Replace with your projection before use
2026,MIN,0.50,manual_template,Replace with your projection before use
2026,NE,0.50,manual_template,Replace with your projection before use
2026,NO,0.50,manual_template,Replace with your projection before use
2026,NYG,0.50,manual_template,Replace with your projection before use
2026,NYJ,0.50,manual_template,Replace with your projection before use
2026,PHI,0.50,manual_template,Replace with your projection before use
2026,PIT,0.50,manual_template,Replace with your projection before use
2026,SEA,0.50,manual_template,Replace with your projection before use
2026,SF,0.50,manual_template,Replace with your projection before use
2026,TB,0.50,manual_template,Replace with your projection before use
2026,TEN,0.50,manual_template,Replace with your projection before use
2026,WAS,0.50,manual_template,Replace with your projection before use
