week,game_id,home_team,away_team,home_moneyline,away_moneyline
1,2026_W01_LAC_AT_KC,KC,LAC,-300,240
1,2026_W01_DAL_AT_PHI,PHI,DAL,-240,200
1,2026_W01_NYJ_AT_BUF,BUF,NYJ,-140,120
1,2026_W01_SEA_AT_SF,SF,SEA,-105,-115
2,2026_W02_DAL_AT_KC,KC,DAL,-350,275
2,2026_W02_SEA_AT_PHI,PHI,SEA,-110,-110
2,2026_W02_LAC_AT_BUF,BUF,LAC,-250,205
2,2026_W02_NYJ_AT_SF,SF,NYJ,130,-150
3,2026_W03_NYJ_AT_KC,KC,NYJ,-500,375
3,2026_W03_LAC_AT_PHI,PHI,LAC,-300,240
3,2026_W03_DAL_AT_SEA,SEA,DAL,-220,180
3,2026_W03_BUF_AT_SF,SF,BUF,-120,100
4,2026_W04_SEA_AT_KC,KC,SEA,-180,155
4,2026_W04_NYJ_AT_PHI,PHI,NYJ,-160,140
4,2026_W04_DAL_AT_BUF,BUF,DAL,-400,310
4,2026_W04_LAC_AT_SF,SF,LAC,-130,110
