entry_id,owner_name,active,used_teams
F001,Fixture Entry 1,true,
F002,Fixture Entry 2,true,
F003,Fixture Entry 3,true,
F004,Fixture Entry 4,true,
F005,Fixture Entry 5,true,
F006,Fixture Entry 6,true,
F007,Fixture Entry 7,true,
F008,Fixture Entry 8,true,
F009,Fixture Entry 9,true,
F010,Fixture Entry 10,true,
F011,Fixture Entry 11,true,
F012,Fixture Entry 12,true,
F013,Fixture Entry 13,true,
F014,Fixture Entry 14,true,
F015,Fixture Entry 15,true,
F016,Fixture Entry 16,true,
F017,Fixture Entry 17,true,
F018,Fixture Entry 18,true,
F019,Fixture Entry 19,true,
F020,Fixture Entry 20,true,
F021,Fixture Entry 21,true,
F022,Fixture Entry 22,true,
F023,Fixture Entry 23,true,
F024,Fixture Entry 24,true,
F025,Fixture Entry 25,true,
F026,Fixture Entry 26,true,
F027,Fixture Entry 27,true,
F028,Fixture Entry 28,true,
F029,Fixture Entry 29,true,
F030,Fixture Entry 30,true,
F031,Fixture Entry 31,true,
F032,Fixture Entry 32,true,
F033,Fixture Entry 33,true,
F034,Fixture Entry 34,true,
F035,Fixture Entry 35,true,
F036,Fixture Entry 36,true,
F037,Fixture Entry 37,true,
F038,Fixture Entry 38,true,
F039,Fixture Entry 39,true,
F040,Fixture Entry 40,true,
