week,game_id,home_team,away_team,home_moneyline,away_moneyline,sportsbook,market_timestamp
1,2026_W01_ARI_AT_LAC,LAC,ARI,-160,140,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_ATL_AT_PIT,PIT,ATL,-125,105,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_BAL_AT_IND,IND,BAL,125,-145,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_BUF_AT_HOU,HOU,BUF,110,-130,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_CHI_AT_CAR,CAR,CHI,-120,100,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_CLE_AT_JAX,JAX,CLE,-150,130,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_DAL_AT_NYG,NYG,DAL,-105,-115,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_DEN_AT_KC,KC,DEN,-190,160,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_GB_AT_MIN,MIN,GB,-135,115,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_MIA_AT_LV,LV,MIA,105,-125,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_NE_AT_SEA,SEA,NE,-175,150,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_NO_AT_DET,DET,NO,-155,135,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_NYJ_AT_TEN,TEN,NYJ,-110,-110,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_SF_AT_LAR,LAR,SF,100,-120,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_TB_AT_CIN,CIN,TB,-140,120,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
1,2026_W01_WAS_AT_PHI,PHI,WAS,-165,145,SYNTHETIC_FIXTURE,2026-05-15T00:00:00
