week,team,public_pick_pct,source
1,ARI,0.005,SYNTHETIC_FIXTURE
1,ATL,0.010,SYNTHETIC_FIXTURE
1,BAL,0.050,SYNTHETIC_FIXTURE
1,BUF,0.050,SYNTHETIC_FIXTURE
1,CAR,0.020,SYNTHETIC_FIXTURE
1,CHI,0.005,SYNTHETIC_FIXTURE
1,CIN,0.060,SYNTHETIC_FIXTURE
1,CLE,0.005,SYNTHETIC_FIXTURE
1,DAL,0.030,SYNTHETIC_FIXTURE
1,DEN,0.010,SYNTHETIC_FIXTURE
1,DET,0.080,SYNTHETIC_FIXTURE
1,GB,0.020,SYNTHETIC_FIXTURE
1,HOU,0.020,SYNTHETIC_FIXTURE
1,IND,0.000,SYNTHETIC_FIXTURE
1,JAX,0.035,SYNTHETIC_FIXTURE
1,KC,0.160,SYNTHETIC_FIXTURE
1,LAC,0.050,SYNTHETIC_FIXTURE
1,LAR,0.020,SYNTHETIC_FIXTURE
1,LV,0.000,SYNTHETIC_FIXTURE
1,MIA,0.025,SYNTHETIC_FIXTURE
1,MIN,0.035,SYNTHETIC_FIXTURE
1,NE,0.000,SYNTHETIC_FIXTURE
1,NO,0.015,SYNTHETIC_FIXTURE
1,NYG,0.000,SYNTHETIC_FIXTURE
1,NYJ,0.000,SYNTHETIC_FIXTURE
1,PHI,0.120,SYNTHETIC_FIXTURE
1,PIT,0.040,SYNTHETIC_FIXTURE
1,SEA,0.070,SYNTHETIC_FIXTURE
1,SF,0.030,SYNTHETIC_FIXTURE
1,TB,0.010,SYNTHETIC_FIXTURE
1,TEN,0.015,SYNTHETIC_FIXTURE
1,WAS,0.010,SYNTHETIC_FIXTURE
