week,game_id,home_team,away_team,kickoff
1,2026_W01_LAC_AT_KC,KC,LAC,2026-09-10T20:20:00
1,2026_W01_DAL_AT_PHI,PHI,DAL,2026-09-13T13:00:00
1,2026_W01_NYJ_AT_BUF,BUF,NYJ,2026-09-13T16:25:00
1,2026_W01_SEA_AT_SF,SF,SEA,2026-09-14T20:15:00
2,2026_W02_DAL_AT_KC,KC,DAL,2026-09-17T20:20:00
2,2026_W02_SEA_AT_PHI,PHI,SEA,2026-09-20T13:00:00
2,2026_W02_LAC_AT_BUF,BUF,LAC,2026-09-20T16:25:00
2,2026_W02_NYJ_AT_SF,SF,NYJ,2026-09-21T20:15:00
3,2026_W03_NYJ_AT_KC,KC,NYJ,2026-09-24T20:20:00
3,2026_W03_LAC_AT_PHI,PHI,LAC,2026-09-27T13:00:00
3,2026_W03_DAL_AT_SEA,SEA,DAL,2026-09-27T16:25:00
3,2026_W03_BUF_AT_SF,SF,BUF,2026-09-28T20:15:00
4,2026_W04_SEA_AT_KC,KC,SEA,2026-10-01T20:20:00
4,2026_W04_NYJ_AT_PHI,PHI,NYJ,2026-10-04T13:00:00
4,2026_W04_DAL_AT_BUF,BUF,DAL,2026-10-04T16:25:00
4,2026_W04_LAC_AT_SF,SF,LAC,2026-10-05T20:15:00
