season,team,rating,source,notes
2026,ARI,0.42,SYNTHETIC_SAMPLE,Fake sample rating
2026,ATL,0.46,SYNTHETIC_SAMPLE,Fake sample rating
2026,BAL,0.66,SYNTHETIC_SAMPLE,Fake sample rating
2026,BUF,0.68,SYNTHETIC_SAMPLE,Fake sample rating
2026,CAR,0.34,SYNTHETIC_SAMPLE,Fake sample rating
2026,CHI,0.44,SYNTHETIC_SAMPLE,Fake sample rating
2026,CIN,0.58,SYNTHETIC_SAMPLE,Fake sample rating
2026,CLE,0.40,SYNTHETIC_SAMPLE,Fake sample rating
2026,DAL,0.55,SYNTHETIC_SAMPLE,Fake sample rating
2026,DEN,0.52,SYNTHETIC_SAMPLE,Fake sample rating
2026,DET,0.70,SYNTHETIC_SAMPLE,Fake sample rating
2026,GB,0.57,SYNTHETIC_SAMPLE,Fake sample rating
2026,HOU,0.64,SYNTHETIC_SAMPLE,Fake sample rating
2026,IND,0.43,SYNTHETIC_SAMPLE,Fake sample rating
2026,JAX,0.45,SYNTHETIC_SAMPLE,Fake sample rating
2026,KC,0.72,SYNTHETIC_SAMPLE,Fake sample rating
2026,LV,0.36,SYNTHETIC_SAMPLE,Fake sample rating
2026,LAC,0.53,SYNTHETIC_SAMPLE,Fake sample rating
2026,LAR,0.54,SYNTHETIC_SAMPLE,Fake sample rating
2026,MIA,0.56,SYNTHETIC_SAMPLE,Fake sample rating
2026,MIN,0.51,SYNTHETIC_SAMPLE,Fake sample rating
2026,NE,0.38,SYNTHETIC_SAMPLE,Fake sample rating
2026,NO,0.41,SYNTHETIC_SAMPLE,Fake sample rating
2026,NYG,0.35,SYNTHETIC_SAMPLE,Fake sample rating
2026,NYJ,0.48,SYNTHETIC_SAMPLE,Fake sample rating
2026,PHI,0.69,SYNTHETIC_SAMPLE,Fake sample rating
2026,PIT,0.50,SYNTHETIC_SAMPLE,Fake sample rating
2026,SEA,0.49,SYNTHETIC_SAMPLE,Fake sample rating
2026,SF,0.67,SYNTHETIC_SAMPLE,Fake sample rating
2026,TB,0.47,SYNTHETIC_SAMPLE,Fake sample rating
2026,TEN,0.37,SYNTHETIC_SAMPLE,Fake sample rating
2026,WAS,0.59,SYNTHETIC_SAMPLE,Fake sample rating
